part,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success,edit_at_least_partial,edit_complete,cases,edit_at_least_partial_count,edit_complete_count,joint_success_count,strict_joint_success_count
car body,endpoint_auto,1.5,0.75,1.5,2.0,0.5,0.0,0.75,0.75,4,3,3,2,0
car body,endpoint_gt,1.5,1.5,1.75,2.0,0.75,0.5,0.75,0.75,4,3,3,3,2
car body,rk2_auto,1.5,0.75,1.75,2.0,0.5,0.0,0.75,0.75,4,3,3,2,0
car body,rk2_gt,1.5,1.25,1.75,2.0,0.75,0.25,0.75,0.75,4,3,3,3,1
car body,rk2_n15_auto,1.5,1.5,1.75,2.0,0.75,0.25,0.75,0.75,4,3,3,3,1
car body,rk2_n15_gt,1.5,1.75,1.5,2.0,0.75,0.5,0.75,0.75,4,3,3,3,2
car hood,endpoint_auto,1.8333333333333333,0.8333333333333334,1.6666666666666667,2.0,0.8333333333333334,0.0,1.0,0.8333333333333334,6,6,5,5,0
car hood,endpoint_gt,2.0,1.1666666666666667,1.8333333333333333,2.0,1.0,0.16666666666666666,1.0,1.0,6,6,6,6,1
car hood,rk2_auto,1.5,1.1666666666666667,1.8333333333333333,2.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.6666666666666666,6,5,4,5,1
car hood,rk2_gt,1.8333333333333333,1.5,2.0,2.0,1.0,0.5,1.0,0.8333333333333334,6,6,5,6,3
car hood,rk2_n15_auto,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5,6,5,3,4,2
car hood,rk2_n15_gt,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6,6,6,6,6
hair,endpoint_auto,2.0,1.7777777777777777,2.0,2.0,1.0,0.7777777777777778,1.0,1.0,9,9,9,9,7
hair,endpoint_gt,1.8888888888888888,1.6666666666666667,1.8888888888888888,2.0,1.0,0.6666666666666666,1.0,0.8888888888888888,9,9,8,9,6
hair,rk2_auto,2.0,1.4444444444444444,2.0,2.0,1.0,0.4444444444444444,1.0,1.0,9,9,9,9,4
hair,rk2_gt,2.0,1.5555555555555556,1.8888888888888888,2.0,1.0,0.5555555555555556,1.0,1.0,9,9,9,9,5
hair,rk2_n15_auto,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,9,9,9,9,9
hair,rk2_n15_gt,1.7777777777777777,2.0,1.8888888888888888,2.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,8,8,8,8
head,endpoint_auto,0.7142857142857143,1.0,1.25,2.0,0.32142857142857145,0.03571428571428571,0.4642857142857143,0.25,28,13,7,9,1
head,endpoint_gt,0.6785714285714286,1.6785714285714286,1.2142857142857142,2.0,0.4642857142857143,0.07142857142857142,0.4642857142857143,0.21428571428571427,28,13,6,13,2
head,rk2_auto,0.75,1.1071428571428572,1.2857142857142858,1.9642857142857142,0.39285714285714285,0.03571428571428571,0.4642857142857143,0.2857142857142857,28,13,8,11,1
head,rk2_gt,0.5357142857142857,1.4642857142857142,1.3214285714285714,2.0,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.17857142857142858,28,10,5,10,2
head,rk2_n15_auto,0.6071428571428571,1.5,1.2857142857142858,1.9642857142857142,0.35714285714285715,0.07142857142857142,0.39285714285714285,0.21428571428571427,28,11,6,10,2
head,rk2_n15_gt,0.6428571428571429,2.0,1.3571428571428572,2.0,0.39285714285714285,0.25,0.39285714285714285,0.25,28,11,7,11,7
seat,endpoint_auto,1.25,1.75,1.5,2.0,0.75,0.25,0.75,0.5,4,3,2,3,1
seat,endpoint_gt,1.25,1.5,1.5,2.0,0.75,0.25,0.75,0.5,4,3,2,3,1
seat,rk2_auto,1.5,1.75,1.75,2.0,0.75,0.5,0.75,0.75,4,3,3,3,2
seat,rk2_gt,1.25,1.5,1.5,2.0,0.75,0.25,0.75,0.5,4,3,2,3,1
seat,rk2_n15_auto,0.75,1.75,1.25,2.0,0.5,0.0,0.5,0.25,4,2,1,2,0
seat,rk2_n15_gt,0.75,2.0,1.25,2.0,0.5,0.25,0.5,0.25,4,2,1,2,1
torso,endpoint_auto,1.75,0.625,1.625,2.0,0.625,0.0,1.0,0.75,8,8,6,5,0
torso,endpoint_gt,2.0,1.125,1.875,2.0,0.875,0.25,1.0,1.0,8,8,8,7,2
torso,rk2_auto,1.75,0.625,1.625,2.0,0.625,0.0,1.0,0.75,8,8,6,5,0
torso,rk2_gt,2.0,1.5,2.0,2.0,1.0,0.5,1.0,1.0,8,8,8,8,4
torso,rk2_n15_auto,1.875,1.0,2.0,2.0,0.625,0.375,1.0,0.875,8,8,7,5,3
torso,rk2_n15_gt,2.0,1.875,2.0,2.0,1.0,0.875,1.0,1.0,8,8,8,8,7
